ID,分类,语言,用户问题,关键词,标准回答,推荐按钮,是否启用
FAQ-ZH-001,公司介绍,中文,Boss Hiring 是什么,"Boss Hiring,你们是做什么,公司介绍","Boss Hiring 是 AI 驱动的人才招聘与企业服务平台，专注服务柬埔寨企业和求职者。我们通过 Telegram Bot 收集资料，由 AI 辅助整理，再由顾问人工审核、匹配和跟进。","访问官网 ↗",TRUE
FAQ-ZH-002,公司介绍,中文,你们和普通招聘平台有什么不同,"招聘平台,不同,优势","Boss Hiring 不是开放式招聘平台，不让企业自由浏览完整人才库。我们的模式是 AI 辅助 + 顾问主导，重点保护信息、提升匹配质量，并由顾问推进沟通、面试和入职。","了解 Boss来了",TRUE
FAQ-ZH-003,求职者服务,中文,我想找工作怎么提交资料,"找工作,求职,提交资料","您可以点击「我要找工作」，选择下载简历模板填写后上传，或直接上传已有简历。Boss Hiring 会用 AI 辅助整理资料，再由顾问人工审核。","我要找工作",TRUE
FAQ-ZH-004,求职者服务,中文,求职者收费吗,"求职者,收费,免费","求职者登记资料和提交简历原则上免费。Boss Hiring 顾问会在有合适岗位时联系您。","我要找工作",TRUE
FAQ-ZH-005,求职者服务,中文,没有简历怎么办,"没有简历,模板,CV","如果您没有简历，可以点击「下载资料模板」，填写 Boss Hiring 简历模板后上传。","下载资料模板",TRUE
FAQ-ZH-006,求职者服务,中文,上传简历后多久联系,"多久联系,审核,跟进","提交资料后，Boss Hiring 顾问会按提交顺序审核。是否联系取决于资料完整度和当前岗位匹配情况，请保持 Telegram 或电话畅通。","联系客服",TRUE
FAQ-ZH-007,求职者服务,中文,可以找中文客服岗位吗,"中文客服,岗位,客服","可以。您可以在简历或备注里写明期望岗位为中文客服，并补充语言能力、工作经验、期望薪资和可入职时间。","我要找工作",TRUE
FAQ-ZH-008,求职者服务,中文,没有柬埔寨工作经验可以吗,"柬埔寨经验,没有经验","可以提交资料。是否匹配岗位取决于企业要求、语言能力、工作经验和可入职条件。Boss Hiring 顾问会根据实际岗位判断。","我要找工作",TRUE
FAQ-ZH-009,求职者服务,中文,我的资料会不会泄露,"资料泄露,隐私,简历安全","不会公开给所有企业。Boss Hiring 不开放完整人才库，候选人联系方式、完整简历等敏感信息会由顾问审核后再推进沟通。","联系客服",TRUE
FAQ-ZH-010,企业招聘,中文,企业怎么发布招聘需求,"企业招聘,发布岗位,招人","企业可以点击「企业我要招聘」，在线提交招聘需求，或下载招聘需求模板填写后上传，也可以直接上传已有 JD。","企业我要招聘",TRUE
